phase,epoch,grid_update,tr_acc,tr_auc,tr_recall_malignant,tr_precision_malignant,tr_f1_malignant,tr_loss,va_acc,va_auc,va_recall_malignant,va_precision_malignant,va_f1_malignant,va_loss
1,1,True,0.5765570934256056,0.5873123897983294,0.5005370569280344,0.47551020408163264,0.48770277341705914,0.6829171395219321,0.5573770491803278,0.6193507362784472,0.5461847389558233,0.5112781954887218,0.5281553398058253,0.6732383577767183
1,2,True,0.6150519031141869,0.6623258381538843,0.6158798283261803,0.5189873417721519,0.563297350343474,0.650449939252596,0.5701275045537341,0.621091030789826,0.8273092369477911,0.5162907268170426,0.6358024691358025,0.6687101526338546
1,3,True,0.6211072664359861,0.6726340522870224,0.6326530612244898,0.5244879786286732,0.5735150925024343,0.6459011070456059,0.5701275045537341,0.6205689424364123,0.14457831325301204,0.6101694915254238,0.23376623376623376,0.7675374858149197
1,4,True,0.6410034602076125,0.6927826514021173,0.6630785791173305,0.5436893203883495,0.597478176527643,0.6328606179635005,0.5792349726775956,0.6189223560910307,0.5100401606425703,0.538135593220339,0.5237113402061856,0.6833128820568704
1,5,True,0.625,0.6804926629631358,0.6365591397849463,0.528099910793934,0.5772793759141882,0.6401425008130321,0.581056466302368,0.6210910307898259,0.40160642570281124,0.5524861878453039,0.46511627906976744,0.6857774348858275
1,6,True,0.6332179930795848,0.6801433173054479,0.6494623655913978,0.5364120781527532,0.5875486381322957,0.6380241681341482,0.5901639344262295,0.6195649263721552,0.6947791164658634,0.5372670807453416,0.6059544658493871,0.6667515384694918
2,1,True,0.6301903114186851,0.683303788020153,0.6781115879828327,0.5324347093513058,0.5965077866918358,0.6363437842951514,0.6010928961748634,0.647128514056225,0.5301204819277109,0.5641025641025641,0.546583850931677,0.6782329249686013
2,2,True,0.6634948096885813,0.7231524036116981,0.7261009667024705,0.5638031693077564,0.6347417840375587,0.6072056465701661,0.5974499089253188,0.6506626506024096,0.8273092369477911,0.5364583333333334,0.65086887835703,0.659442763728088
2,3,True,0.6691176470588235,0.7436997894550174,0.7679914070891515,0.5656645569620253,0.6514806378132119,0.5897434914813322,0.6174863387978142,0.6616398929049532,0.6626506024096386,0.5670103092783505,0.6111111111111112,0.6691992339323561
2,4,True,0.6764705882352942,0.752364402562667,0.7575107296137339,0.5749185667752443,0.6537037037037037,0.5809798969735737,0.6357012750455373,0.6677710843373493,0.7429718875502008,0.5763239875389408,0.6491228070175439,0.6684180423210228
2,5,True,0.6691176470588235,0.7501828423820861,0.7569892473118279,0.5663716814159292,0.6479521398987574,0.5822473780919112,0.6138433515482696,0.6727510040160642,0.7630522088353414,0.5539358600583091,0.6418918918918919,0.6489376718880701
2,6,True,0.6777681660899654,0.7678329290290478,0.7736051502145923,0.5745019920318725,0.6593507087334248,0.5659963645324575,0.6338797814207651,0.6855488621151272,0.7228915662650602,0.5769230769230769,0.6417112299465241,0.6608324628492956
2,7,True,0.7011245674740484,0.7977063506873173,0.7757510729613734,0.6,0.6766495086569958,0.5371109953079256,0.6411657559198543,0.6777978580990629,0.7429718875502008,0.5817610062893082,0.6525573192239859,0.6797127308958433
2,8,True,0.7158304498269896,0.8038292280898178,0.7854077253218884,0.6156433978132885,0.6902404526166902,0.5282812727466999,0.6375227686703097,0.6716532797858099,0.7389558232931727,0.5786163522012578,0.6490299823633157,0.7343877662509299
2,9,True,0.7162629757785467,0.7997893772395196,0.8012889366272825,0.6129827444535744,0.6945996275605214,0.5338350827821811,0.6429872495446266,0.6776773761713522,0.6907630522088354,0.5910652920962199,0.6370370370370371,0.705329134816029
2,10,True,0.735726643598616,0.8264353342236318,0.8249194414607949,0.631578947368421,0.7154168607359106,0.5076922784111492,0.6520947176684881,0.6771017402945114,0.7309236947791165,0.5947712418300654,0.6558558558558558,0.7555899867594568
